,name,longitude,region_id,legacy_id,capacity,latitude,short_name
318,Eisenhower Ave & Mill Race Ln,-77.068952,40,337,15,38.801111,31082
319,Potomac Greens Dr & Slaters Ln,-77.047494,40,338,11,38.82175,31083
320,Ballenger Ave & Dulaney St,-77.063562,40,339,19,38.802677,31084
321,Mount Vernon Ave & E Nelson Ave,-77.057619,40,340,11,38.820064,31085
322,Mount Vernon Ave & E Del Ray Ave,-77.058541,40,341,15,38.82595,31086
323,Monroe Ave & Leslie Ave,-77.053096,40,342,15,38.820932,31087
324,Mount Vernon Ave & Kennedy St,-77.059821,40,343,15,38.833077,31088
325,Court House Metro / 15th St & N Uhle St,-77.084801,41,344,21,38.890612,31089
326,WAU / Flower Ave & Division St,-77.000035,44,345,15,38.986743,32049
327,Long Bridge Park / Long Bridge Dr & 6th St S,-77.05003,41,346,15,38.865553,31090
328,Connecticut Ave & McKinley St NW,-77.07513481378555,42,347,19,38.96454350924588,31315
329,15th & L St NW,-77.034918,42,348,23,38.903649,31276
330,17th & G St NW,-77.03973233699799,42,349,31,38.898282949523605,31277
331,Spring St & 2nd Ave,-77.034499,44,350,15,38.997653,32050
332,18th & R St NW,-77.041834,42,351,19,38.912648,31278
333,Joyce St & 16th St S,-77.063275,41,352,15,38.859254,31091
334,Union Market,-76.99707,42,353,23,38.907908,31517
335,Langston Blvd & N Monroe St,-77.104562,41,354,15,38.896456,31092
336,21st St & N Pierce St,-77.078317,41,355,15,38.898984,31093
337,Langston Blvd & N Kirkwood St,-77.09713,41,356,15,38.895377,31094
338,19th & G St NW,-77.043182,42,357,23,38.898412,31279
339,2nd St & Seaton Pl NE,-77.00356006622314,42,358,19,38.914751108831155,31522
340,Wilson Blvd & N Illinois St ,-77.12712,41,359,15,38.876528,31902
341,Army Navy Dr & S Nash St,-77.06812083721161,41,364,11,38.86215024521491,31095
342,Thomas Jefferson St NW & Water/K St NW,-77.060173,42,365,19,38.902826,31293
343,11th & S St NW,-77.027025,42,367,23,38.913761,31280
344,Walter Reed Dr & 8th St S,-77.08787,41,368,15,38.86612,31096
345,2nd & G St NE,-77.003666,42,369,23,38.89967,31639
346,8th & O St NW,-77.02277,42,370,19,38.90864,31281
347,Georgia & Missouri Ave NW,-77.027855,42,371,19,38.961339,31411
348,Oklahoma Ave & D St NE,-76.974828,42,373,19,38.894474,31712
349,Maryland Ave & E St NE,-76.99278563261032,42,374,19,38.8962260397813,31640
350,New York Ave & Hecht Ave NE,-76.983683,42,375,23,38.915604,31518
351,Yuma St & Tenley Circle NW,-77.08059,42,376,19,38.946182,31316
352,Connecticut Ave & Chevy Chase Lake Dr,-77.076986,44,377,15,38.994113,32051
353,Key West Ave & Siesta Key Way,-77.194774,43,378,15,39.105295,32052
354,Langston Blvd & N Woodstock St,-77.118009,41,379,19,38.898301,31900
355,Saint Asaph St & Madison St,-77.044097,40,380,15,38.812718,31097
356,King St Metro North / Cameron St,-77.059817,40,381,15,38.80704,31098
357,Madison St & N Henry St,-77.049468,40,382,15,38.813485,31099
358,Medical Center Metro ,-77.097882,44,383,19,38.999378,32053
359,Washington Blvd & N Frederick St,-77.127671,41,384,11,38.884829,31901
360,Wisconsin Ave & Ingomar St NW,-77.084636,42,385,19,38.958267,31317
361,16th & Irving St NW,-77.03625,42,386,19,38.928893,31122
362,16th & R St NW,-77.036278,42,387,19,38.912652,31282
363,Lyttonsville Rd & Lyttonsville Pl,-77.051168,44,388,15,38.999679,32054
364,Woodmont Ave & Strathmore St,-77.093522,44,389,11,38.979875,32055
365,14th & L St NW,-77.031737,42,390,19,38.903658,31283
366,1st & O St NW,-77.012365,42,391,15,38.908643,31519
367,South Capitol & Atlantic St SW,-77.008133,42,392,19,38.831516,31811
368,18th & C St NW,-77.041544,42,393,19,38.893511,31284
369,22nd & P ST NW,-77.048728,42,394,19,38.909394,31285
370,East West Hwy & 16th St,-77.038721,44,395,19,38.995681,32056
371,Royal St & Wilkes St,-77.0447,40,396,15,38.799267,31903
372,14th & Girard St NW,-77.032375,42,397,23,38.925284,31123
373,Potomac Ave & Main Line Blvd,-77.049265,40,398,19,38.822738,31910
374,11th & O St NW,-77.02714,42,399,19,38.90843,31286
375,10th St & L'Enfant Plaza SW,-77.02601015567778,42,400,23,38.88432272414662,31287
376,Connecticut Ave & Yuma St NW,-77.065115,42,401,19,38.947156,31318
377,2nd St & Massachusetts Ave NE,-77.003135,42,402,23,38.894972,31641
378,Radford St & Osage St,-77.086031,40,403,23,38.828437,31908
379,East Falls Church Metro / Sycamore St & 19th St N,-77.15642720460892,41,404,19,38.88532071975074,31904
380,Kennebec St & 11th St N,-77.135271,41,405,15,38.880992,31905
381,Commonwealth Ave & Oak St,-77.061715,40,406,15,38.812711,31906
382,Commonwealth Ave & E Monroe Ave,-77.06282079219818,40,407,15,38.82005823354218,31913
383,4th St & Madison Dr NW,-77.0172465,42,408,31,38.8904955,31288
384,Henry Bacon Dr & Lincoln Memorial Circle NW,-77.049383,42,409,19,38.890539,31289
385,17th St & Independence Ave SW,-77.038325,42,410,19,38.888097,31290
386,Franklin St & S Washington St,-77.0487,40,411,19,38.798133,31907
387,Mount Vernon Ave & Four Mile Run Park,-77.064016,40,412,15,38.843422,31909
388,4th St & K St NW,-77.01600551605225,42,413,23,38.90240556584194,31642
389,Mount Vernon Ave & Bruce St,-77.063093,40,414,15,38.841291,31912
390,Lee Center,-77.053766,40,415,15,38.797557,31914
391,Powhatan St & Bashford Ln,-77.047783,40,416,15,38.818748,31915
392,Potomac Ave & Swann Ave,-77.047844,40,417,19,38.829545,31916
393,14th & Irving St NW,-77.032224,42,418,31,38.928552,31124
394,Vermont Ave & I St NW,-77.03445106744766,42,419,25,38.901136451737045,31291
395,Wisconsin Ave & Brandywine St NW,-77.080217,42,420,25,38.949813,31319
396,24th & R St NE / National Arboretum,-76.971923,42,421,19,38.91263,31520
397,Division Ave & Foote St NE,-76.925907,42,422,15,38.897407,31713
398,16th & Q St SE / Anacostia HS,-76.982359,42,423,23,38.870695,31812
399,Spring Hill Metro,-77.240654,104,424,15,38.929261,32200
400,Westpark Dr & Leesburg Pike,-77.235955,104,425,11,38.92403,32201
401,Tysons One Pl & Chain Bridge Rd,-77.221179,104,427,11,38.919475,32203
402,Tysons Corner Station,-77.222115,104,428,11,38.920939,32204
403,Westpark & Jones Branch Dr,-77.217664,104,429,11,38.924437,32205
404,Jones Branch & Westbranch Dr,-77.219261,104,430,13,38.931911,32206
405,Westpark & Park Run Dr,-77.225394,104,431,11,38.928919,32207
406,Tysons West Transit Center,-77.231825,104,432,11,38.932636,32208
407,North Shore & Cameron Crescent Dr/Crescent Apartments,-77.338686,104,433,11,38.970046,32209
408,Town Center Pkwy & Bowman Towne Dr,-77.361902,104,434,15,38.962524,32210
409,Reston Regional Library,-77.358815,104,435,15,38.962095,32211
410,New Dominion Pkwy & Fountain Dr,-77.356324,104,436,15,38.960574,32212
411,Sunset Hills & Old Reston Ave,-77.351649,104,437,15,38.955079,32213
412,Reston Town Center Transit Station,-77.359718,104,438,17,38.957037,32214
413,1st & D St SE,-77.005965,42,439,19,38.884916,31643
414,Wiehle Ave & Reston Station Blvd,-77.3393914103508,104,440,19,38.946607921214984,32215
415,Library St & Freedom Dr,-77.358741,104,441,19,38.959633,32216
416,Sunset Hills Rd & Discovery Square,-77.357611,104,442,15,38.95534,32217
417,22nd St & Constitution Ave NW,-77.048947,42,443,23,38.892441,31292
418,61st St & Banks Pl NE,-76.913563,42,444,19,38.891805,31714
419,Temporary Rd & Old Reston Ave,-77.353414,104,445,15,38.960084,32218
420,Reston YMCA,-77.368416,104,446,15,38.955314,32219
421,Sunset Hills Rd & Isaac Newton Square,-77.340377,104,447,11,38.951443,32220
422,N Lynn St & Fairfax Dr,-77.070862,41,448,15,38.89386,31917
423,Georgia Ave & Piney Branch Rd NW,-77.027976,42,449,15,38.967505,31414
424,Greensboro & International Dr,-77.227417,104,450,11,38.923083,32221
425,Madison St & Fairfax St,-77.040691,40,451,15,38.812351,31918
426,Sligo Ave & Carroll Ln,-77.016311,44,452,15,38.990874,32058
